name,category,sra,lat,lon
KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA,Hospital,KEARNY MESA,32.83153522289667,-117.12579809818064
PALOMAR REHABILITATION INSTITUTE,Hospital,ESCONDIDO,33.12135518797639,-117.1198580775708
HEMET VALLEY HEALTH CARE CENTER D/P SNF,Hospital,,33.752525105620684,-116.95986805733155
VILLA CORONADO (DP/SNF),Hospital,CORONADO,32.69443524152423,-117.16772810059027
EDGEMOOR HOSPITAL DP/SNF,Hospital,SANTEE,32.8525334122848,-116.97506812259005
EL CENTRO HEALTH CLINIC,Clinic,,32.766975148634685,-115.52745838351768
"CLINICAS DE SALUD DEL PUEBLO, INC",Clinic,,32.978605122541275,-115.52852836885002
CLINICAS DE SALUD DEL PUEBLO INC,Clinic,,32.69403515647919,-115.50282839317785
EL CENTRO DESERT VALLEY DIALYSIS CENTER,Clinic,,32.79264514674514,-115.55473837767435
NILAND HEALTH CLINIC,Clinic,,33.25724508891781,-115.54572834484253
BRAWLEY DENTAL CLINIC,Clinic,,32.97274122311202,-115.52280706992062
FRESENIUS MEDICAL CARE OF BRAWLEY,Clinic,,32.95995512622731,-115.55478836548205
FRESENIUS MEDICAL CARE OF IMPERIAL COUNTY,Clinic,,32.770685148543656,-115.5345183821341
FRESENIUS MEDICAL CARE CALEXICO DIALYSIS,Clinic,,32.67917825839108,-115.49381059625678
PLANNED PARENTHOOD - EL CENTRO,Clinic,,32.78038514901023,-115.55233837853437
MISSION VIEJO DIALYSIS,Clinic,,33.56215516603652,-117.6582179521692
SAN JUAN CAPISTRANO SOUTH DIALYSIS,Clinic,,33.50261297245196,-117.65246745745613
FRESENIUS MEDICAL CARE SAN JUAN CAPISTRANO,Clinic,,33.50981517128755,-117.65973795569043
KRISTINA SERGEYEVA FAMILY HEALTH CENTER,Clinic,,33.56130516600292,-117.66369795111193
"SANO COMMUNITY HEALTH CENTER, INC.",Clinic,,33.643815171189104,-117.92801790018841
FAMILIES TOGETHER OF ORANGE COUNTY - MOBILE CLINIC,Clinic,,33.745995154568625,-117.8305079077689
"LAGUNA BEACH COMMUNITY CLINIC, INC",Clinic,,33.543875174713115,-117.78085793213532
SHARE OUR SELVES COMMUNITY HEALTH CENTER,Clinic,,33.63298517263396,-117.92667790112466
AESTHETICARE OUTPATIENT SURGERY CENTER,Clinic,,33.52273517057643,-117.66590795346568
SANTA ANA DIALYSIS CENTER,Clinic,,33.70607516015329,-117.85064790772304
NEWPORT BEACH DIALYSIS,Clinic,,33.62121517390395,-117.92697790122413
SADDLEBACK DIALYSIS,Clinic,,33.62672216224495,-117.72322693585708
RAI - LAGUNA CANYON - IRVINE,Clinic,,33.65869516037528,-117.76838792594232
RAI - EAST FIRST STREET - TUSTIN,Clinic,,33.74582515400346,-117.81840790986605
CAMINO HEALTH CENTER,Clinic,,33.52203517082994,-117.66871795300489
NEWPORT - MESA DIALYSIS SERVICES,Clinic,,33.68010226585237,-117.90644530059436
PLANNED PARENTHOOD/ORANGE AND SAN BERNARDINO CO,Clinic,,33.60038516199066,-117.67357794583867
FRESENIUS MEDICAL CARE MISSION VIEJO,Clinic,,33.619357159885055,-117.67461494491367
HURTT FAMILY HEALTH CLINIC,Clinic,,33.71488515815376,-117.83340791013995
HURTT FAMILY MOBILE CLINIC,Clinic,,33.71468515807659,-117.83214791079507
HURTT PEDIATRIC MOBILE CLINIC,Clinic,,33.71488515815376,-117.83340791013995
SATELLITE HEALTHCARE LAGUNA HILLS,Clinic,,33.601455162659136,-117.68957794394028
LAGUNA HILLS DIALYSIS,Clinic,,33.59348856333755,-117.67481604641797
NEWPORT SUPERIOR DIALYSIS,Clinic,,33.62979517253699,-117.92985790097892
PACIFIC SERVICES FOUNDATIONDS SERVE FOUNDATION,Clinic,,33.699255160535564,-117.84949790889026
PREGNANCY RESOURCE CENTER,Clinic,,33.42990517807764,-117.6143979700415
SOS CHILDREN AND FAMILY HEALTH CENTER,Clinic,,33.626265173434014,-117.93102790066271
FAMILIES TOGETHER OF ORANGE COUNTY,Clinic,,33.74577515465316,-117.83123790801733
BEACHSIDE BIRTH CENTER,Clinic,,33.62629516256621,-117.73054793409561
SOS BEAUCHAMP DENTAL,Clinic,,33.626265173434014,-117.93102790066271
TUSTIN RANCH DIALYSIS,Clinic,,33.74576515427958,-117.8318779076674
FRIENDS OF FAMILY HEALTH CENTER,Clinic,,33.74742515291145,-117.81259791123638
CAMINO HEALTH CENTER - LAKE FOREST,Clinic,,33.63577516063929,-117.71263793739386
NEWPORT IRVINE DIALYSIS,Clinic,,33.66342516558036,-117.86169790907572
REDHAWK DIALYSIS,Clinic,,33.4766851462526,-117.11139805227265
BIRTH CHOICE CENTERS MOBILE,Clinic,,33.51773514403485,-117.1683980390173
INDIO DIALYSIS,Clinic,,33.74413506539369,-116.21873818811858
REFUGE PREGNANCY CENTER,Clinic,,33.70710507182916,-116.24169818620213
VCC: MOBILE VAN,Clinic,,33.62684513751959,-117.2808480119148
RAI CORPORATE WAY - PALM DESERT,Clinic,,33.746715073080466,-116.36235816219279
"KIDNEY INSTITUTE OF THE DESERT, LLC",Clinic,,33.707375071598186,-116.23826818752208
BARBARA SINATRA CHILDREN'S CENTER AT EISENHOWER,Clinic,,33.76417507388573,-116.40806815302552
TEMECULA DIALYSIS CENTER,Clinic,,33.528045142568146,-117.16050803947464
PLANNED PARENTHOOD-RANCHO MIRAGE CENTER,Clinic,,33.74362507614405,-116.4121681535623
KIDNEY INSTITUTE AT EMC LLC,Clinic,,33.76461507338709,-116.40805815256056
LAKE ELSINORE DIALYSIS,Clinic,,33.65276813581513,-117.29683240716388
RAI - MONROE - INDIO,Clinic,,33.70911507060533,-116.2338781877264
"CAL OAKS THERAPY CENTER, INC.",Clinic,,33.56774514074587,-117.20576802919192
PLANNED PARENTHOOD - COACHELLA VALLEY,Clinic,,33.69197507005073,-116.18456819730825
MECCA HEALTH CLINIC,Clinic,,33.56839537897826,-116.07438032716396
MECCA HEALTH CLINIC,Clinic,,33.56839537897826,-116.07438032716396
INDIO SURGERY CENTER INC.,Clinic,,33.70783507080375,-116.23382818806316
"CENTRO MEDICO, OASIS",Clinic,,33.49889508967293,-116.11721822457532
THERAPY PROFESSIONALS,Clinic,,33.55850494021843,-117.18582773330031
HEMET DIALYSIS CENTER,Clinic,,33.7473551082905,-117.00391804990157
"LA QUINTA KIDNEY CENTER, LLC",Clinic,,33.73202007173226,-116.30294967382311
BERMUDA DUNES DIALYSIS,Clinic,,33.766135068149275,-116.30336817066757
MURRIETA DIALYSIS CENTER,Clinic,,33.598776534964195,-117.17779673118233
SUN CITY MENIFEE DIALYSIS,Clinic,,33.74695401873252,-117.186850018402
CORONA DIALYSIS CENTER,Clinic,,33.84952912636196,-117.5359659504005
ANZA INDIAN HEALTH CENTER,Clinic,,33.554065113487965,-116.67461812280375
COACHELLA KIDNEY INSTITUTE,Clinic,,33.67825507111418,-116.1773382003789
ANZA COMMUNITY HEALTH CENTER,Clinic,,33.55694511058361,-116.63973812774601
PEOPLE'S COMMUNITY CLINIC,Clinic,,33.75549510525893,-116.95862805675834
NEIGHBORHOOD HEALTH CARE - DEVONSHIRE AVE,Clinic,,33.75115510605808,-116.9627380565318
HEMET MEDICAL AND DENTAL CENTER,Clinic,,33.74754510595837,-116.96161805759411
VCC: LAKE ELSINORE,Clinic,,33.68450513558131,-117.36788799229488
TRUECARE,Clinic,,33.802925114307634,-117.22599800700634
BEACHSIDE BIRTH CENTER,Clinic,,33.85386512559326,-117.53770794939113
COACHELLA HEALTH CLINIC,Clinic,,33.682745070853294,-116.18165819880784
ST PAUL'S PACE EAST,Clinic,EL CAJON,32.807775215323595,-116.93528813256114
BEST-START BIRTH CENTER,Clinic,PENINSULA,32.74626523680183,-117.1983880918375
NEIGHBORHOOD HEALTHCARE-GOLD FAMILY HEALTH CENTER,Clinic,POWAY,32.9566452038386,-117.04924810196617
OCEANSIDE DIALYSIS,Clinic,OCEANSIDE,33.207215187097354,-117.2857880427337
SANDERLING DIALYSIS OF RAMONA,Clinic,RAMONA,33.030805186891456,-116.88605812531772
NATIONAL CITY FAMILY HEALTH CENTER,Clinic,NATIONAL CITY,32.68095523788333,-117.08069811589834
MOUNTAIN HEALTH FAMILY MEDICINE,Clinic,MOUNTAIN EMPIRE,32.63041521404791,-116.47308822600822
FAMILY HEALTH-CENTER FOR OLDER ADULTS,Clinic,MID-CITY,32.74312522903206,-117.05202811735316
AHF HEALTHCARE CENTER - SAN DIEGO,Clinic,CENTRAL SAN DIEGO,32.749125234262884,-117.16162809773417
FMG DIALYSIS SERVICES OF COLLEGE,Clinic,MID-CITY,32.75134522962152,-117.0682781130425
SAN YSIDRO HEALTH MATERNAL & CHILD HEALTH CENTER,Clinic,SOUTH BAY,32.558275251032676,-117.04682813095806
HIDDEN VALLEY DIALYSIS,Clinic,ESCONDIDO,33.1124351894857,-117.12096807839974
"GARY AND MARY WEST SENIOR SERVICES, INC.",Clinic,SAN MARCOS,33.14988518925529,-117.1993080615007
HOPE CLINIC FOR WOMEN,Clinic,FALLBROOK,33.382665164365285,-117.25055803517323
TRUECARE,Clinic,RAMONA,33.02906518723842,-116.88885812489704
SAN YSIDRO HEALTH URGENT CARE,Clinic,CHULA VISTA,32.63438524384362,-117.07846812041788
"SOCIAL ADVOCATES FOR YOUTH, SAN DIEGO, INC.",Clinic,KEARNY MESA,32.82525522354103,-117.12047809917038
RICHARD J. DONOVAN STATE PRISON DIALYSIS CLINIC,Clinic,SOUTH BAY,32.57891524229239,-116.91906815177475
SAN YSIDRO HEALTH EL CAJON/SAN DIEGO PACE,Clinic,EL CAJON,32.785125220414415,-116.9766781272447
SCRIPPS HEALTH ASC JEFFERSON,Clinic,OCEANSIDE,33.18234519264708,-117.33874803535514
BIRTH CHOICE OF SAN MARCOS,Clinic,SAN MARCOS,33.14142518986143,-117.20221806159584
"SAN DIEGO DIALYSIS SERVICES, INC.",Clinic,CENTRAL SAN DIEGO,32.74937523438876,-117.16275809729515
VCC: MOBILE MEDICAL cLINIC,Clinic,VISTA,33.19057518707634,-117.25910804901633
FRESENIUS KIDNEY CARE HOME TRAINING CENTER OF SAN DIEGO,Clinic,KEARNY MESA,32.81419522479351,-117.12073810039564
LINDA VISTA HEALTH CARE CENTER,Clinic,KEARNY MESA,32.78720522990407,-117.1698080934873
LOGAN HEIGHTS FAMILY HEALTH CENTER,Clinic,CENTRAL SAN DIEGO,32.70139893895931,-117.14669620318915
BEACH AREA FAMILY HEALTH CENTER,Clinic,COASTAL,32.782675234839054,-117.2524580798061
VISTA COMMUNITY CLINIC,Clinic,VISTA,33.20905518376881,-117.22879805270733
IMPERIAL BEACH HEALTH CENTER,Clinic,SOUTH BAY,32.583795251177094,-117.11341811784156
"SAN DIEGO DIALYSIS SERVICES, INC.",Clinic,NATIONAL CITY,32.658835242009616,-117.1043681142936
MID-CITY COMMUNITY CLINIC,Clinic,MID-CITY,32.75142523069851,-117.10230810798821
SAMAHAN HEALTH CENTERS: ERMA ROAD,Clinic,POWAY,32.919635211389,-117.1141680932412
ESCONDIDO DIALYSIS,Clinic,ESCONDIDO,33.12151518558249,-117.07922808450016
PLANNED PARENTHOOD OF SDRC - FIRST AVENUE CENTER,Clinic,CENTRAL SAN DIEGO,32.72643523749385,-117.16384809903666
SAN YSIDRO HEALTH OTAY,Clinic,CHULA VISTA,32.59655524728373,-117.06446812461098
SAN YSIDRO HEALTH SAN YSIDRO HEALTH CENTER,Clinic,SOUTH BAY,32.558275251032676,-117.04682813095806
SAN YSIDRO HEALTH CHC - OCEAN VIEW,Clinic,CENTRAL SAN DIEGO,32.70115523853048,-117.12583810675063
SAMAHAN HEALTH CENTERS: MIRA MESA MEDICAL,Clinic,DEL MAR-MIRA MESA,32.91389521379617,-117.14376808862372
PLANNED PARENTHOOD - ESCONDIDO CENTER,Clinic,ESCONDIDO,33.12892518527622,-117.0897780828063
NEIGHBORHOOD HEALTHCARE EL CAJON,Clinic,EL CAJON,32.8004652178679,-116.95224813052049
TRUECARE,Clinic,SAN MARCOS,33.14059518803256,-117.15606807025976
SAN DIEGO AMERICAN INDIAN HEALTH CENTER,Clinic,CENTRAL SAN DIEGO,32.73275523609582,-117.16395809846556
PLANNED PARENTHOOD ASSN OF SAN DIEGO CO,Clinic,KEARNY MESA,32.83274522430131,-117.15716809212364
FRESENIUS MEDICAL CARE BALBOA-KEARNY MESA,Clinic,KEARNY MESA,32.81328522594309,-117.15478809435653
PLANNED PARENTHOOD ASSN OF SAN DIEGO COUNTY,Clinic,MID-CITY,32.76020522778942,-117.06671811307744
SAMAHAN HEALTH CENTERS: 2743 HIGHLAND,Clinic,NATIONAL CITY,32.66104524148273,-117.09200811617349
SAN YSIDRO HEALTH NATIONAL CITY,Clinic,NATIONAL CITY,32.67408523978906,-117.10168811315488
PLANNED PARENTHOOD - FRANCES TORBERT CENTER,Clinic,SOUTHEASTERN SAN DIEGO,32.70290523613262,-117.08503811390952
"SAN DIEGO DIALYSIS SERVICES, INC.",Clinic,CHULA VISTA,32.59422524868987,-117.08658812126278
CATHOLIC CHARITIES,Clinic,CENTRAL SAN DIEGO,32.721733637170104,-117.16143069961844
RAI - FLETCHER PARKWAY -  EL CAJON,Clinic,EL CAJON,32.80780521720174,-116.97249812577036
ST. VINCENT DE PAUL VILLAGE FAMILY HEALTH CENTER,Clinic,CENTRAL SAN DIEGO,32.705752339135415,-117.14987770218822
PLANNED PARENTHOOD/MIRA MESA CLINIC,Clinic,DEL MAR-MIRA MESA,32.913965214022646,-117.14275808877755
VISTA COMMUNITY CLINIC - GRAPEVINE,Clinic,VISTA,33.191419687940076,-117.27548114607667
"SAN DIEGO DIALYSIS SERVICES, INC.",Clinic,SOUTHEASTERN SAN DIEGO,32.7137952360888,-117.11421810837209
PLANNED PARENTHOOD OF SDRC-SURGICAL SERVICES,Clinic,CENTRAL SAN DIEGO,32.72643523749385,-117.16384809903666
FRESENIUS MEDICAL CARE BALBOA. - LA MESA,Clinic,LA MESA,32.787415221326796,-116.99921812243333
FRESENIUS MEDICAL CARE NORTH COAST KIDNEY CENTER,Clinic,OCEANSIDE,33.18088519123103,-117.31592803957813
NEIGHBORHOOD HEALTHCARE ESCONDIDO,Clinic,ESCONDIDO,33.128305185197284,-117.07274808516111
PLANNED PARENTHOOD - CHULA VISTA CENTER,Clinic,CHULA VISTA,32.60360524736343,-117.07861812254525
FRESENIUS MEDICAL CARE MARINA BAY,Clinic,CHULA VISTA,32.62454524552723,-117.09478811767222
NORTH PARK FAMILY HEALTH CENTER,Clinic,CENTRAL SAN DIEGO,32.74293743353697,-117.13038380332942
NEIGHBORHOOD HEALTHCARE - LAKESIDE,Clinic,LAKESIDE,32.86118520870402,-116.9211681314583
ENCINITAS DIALYSIS,Clinic,SAN DIEGUITO,33.03624520657882,-117.28498805589386
VISTA COMMUNITY CLINIC - PIER VIEW WAY,Clinic,OCEANSIDE,33.19848719252385,-117.37752202755398
TRUECARE,Clinic,OCEANSIDE,33.20794519037184,-117.3581180301661
RAMONA PREGNANCY CARE CLINIC,Clinic,RAMONA,33.03716518554087,-116.87730812538082
RAI - MISSION GORGE - SAN DIEGO,Clinic,ELLIOTT-NAVAJO,32.800335225033265,-117.0912681058928
FRESENIUS MEDICAL CARE BALBOA EAST COUNTY,Clinic,EL CAJON,32.801876216599915,-116.9370976328628
ALTERNATIVES PREGNANCY CARE CLINIC,Clinic,ESCONDIDO,33.121805185405314,-117.07863808450034
UCSD DIALYSIS CLINIC,Clinic,CENTRAL SAN DIEGO,32.75380523430497,-117.165078096583
U S RENAL CARE OCEANSIDE DIALYSIS,Clinic,OCEANSIDE,33.18632519165712,-117.32839803743578
U.S. RENAL CARE CHULA VISTA BROADWAY DIALYSIS,Clinic,CHULA VISTA,32.60748524701384,-117.08014812165749
SAN DIEGO SOUTH DIALYSIS,Clinic,SOUTHEASTERN SAN DIEGO,32.71408523608338,-117.1158181077882
GROSSMONT SPRING VALLEY FAMILY HEALTH CENTER,Clinic,SPRING VALLEY,32.71482523022193,-117.00964812587647
SAN YSIDRO HEALTH EUCLID,Clinic,SOUTHEASTERN SAN DIEGO,32.707785235067426,-117.0850681140162
TRUECARE,Clinic,OCEANSIDE,33.20794519037184,-117.3581180301661
SAN YSIDRO DIALYSIS CENTER,Clinic,SOUTH BAY,32.57355525011979,-117.0684281259626
CHASE AVENUE FAMILY HEALTH CENTER,Clinic,EL CAJON,32.78167522127225,-116.97657812714486
BORREGO MEDICAL CLINIC,Clinic,ANZA-BORREGO SPRINGS,33.19397513824167,-116.32903821051941
SAN YSIDRO DIALYSIS,Clinic,SOUTH BAY,32.570915250469085,-117.06690812655795
RAY M DICKINSON WELLNESS CENTER,Clinic,ESCONDIDO,33.12921518419654,-117.07164808549592
VISTA COMMUNITY CLINIC - HORNE STREET,Clinic,OCEANSIDE,33.20130519207757,-117.3784480267004
PLANNED PARENTHOOD - MISSION BAY CLINIC,Clinic,COASTAL,32.80304523074999,-117.21658808431023
SAN DIEGO EAST DIALYSIS,Clinic,SOUTHEASTERN SAN DIEGO,32.707225235673825,-117.08605811396717
FMC DIALYSIS SERVICES OF PARADISE,Clinic,SOUTHEASTERN SAN DIEGO,32.68960523586487,-117.04468812215529
MID-CITY COMMUNITY CLINIC (PEDIATRICS),Clinic,MID-CITY,32.74956523071229,-117.10101810782004
FMCNA DIALYSIS SERVICES OF RANCHO,Clinic,NORTH SAN DIEGO,33.01220519923384,-117.09254809023133
CARMEL MOUNTAIN DIALYSIS,Clinic,NORTH SAN DIEGO,32.96006520677119,-117.11512809037808
COLLEGE DIALYSIS,Clinic,MID-CITY,32.75462672832018,-117.05489001604113
VISTA COMMUNITY CLINIC,Clinic,OCEANSIDE,33.24536518383209,-117.31043803573947
PREGNANCY CARE CENTER,Clinic,EL CAJON,32.78793521977767,-116.96225812952015
COLLEGE AREA PREGNANCY SERVICES,Clinic,MID-CITY,32.76782522674158,-117.05527811448427
TRUECARE,Clinic,SAN DIEGUITO,33.03756520701427,-117.29367805431336
PLANNED PARENTHOOD - CITY HEIGHTS CLINIC,Clinic,MID-CITY,32.74956523071229,-117.10101810782004
SAN YSIDRO HEALTH MOBILE HEALTH SERVICES 1G,Clinic,SOUTH BAY,32.55849325129306,-117.04766213075035
SAN YSIDRO HEALTH MOBILE HEALTH SERVICES 1F,Clinic,SOUTH BAY,32.558275251032676,-117.04682813095806
FRESENIUS MEDICAL CARE OF LA JOLLA,Clinic,DEL MAR-MIRA MESA,32.92176521616102,-117.21283807672165
PLANNED PARENTHOOD - EL CAJON CLINIC,Clinic,EL CAJON,32.81144521475947,-116.91908813487014
LA MESA REHAB,Clinic,LA MESA,32.775325223435615,-117.01633812029557
SHERMAN HEIGHTS FAMILY HEALTH CENTER,Clinic,CENTRAL SAN DIEGO,32.71046523775228,-117.14257810308132
"ALLIANCE HEALTH CLINIC, INC.",Clinic,MID-CITY,32.76025522788125,-117.06939811309368
COMMUNITY ELDERCARE OF SAN DIEGO,Clinic,CENTRAL SAN DIEGO,32.72369033718009,-117.16339509869218
SAN YSIDRO HEALTH CHILDREN'S DENTAL CENTER AT RADY CHILDREN'S HOSPITAL,Clinic,KEARNY MESA,32.798487927940826,-117.15213919614176
FRESENIUS MEDICAL CARE BUENA CREEK,Clinic,VISTA,33.193305186787384,-117.26245804755497
CHULA VISTA FAMILY HEALTH CENTER,Clinic,CHULA VISTA,32.642525243111315,-117.08146811885054
SAN MARCOS DIALYSIS CENTER,Clinic,ESCONDIDO,33.13219518696801,-117.11743807709121
SAMAHAN HEALTH CENTERS : 2835 HIGHLAND,Clinic,NATIONAL CITY,32.66008524135284,-117.091638115838
PREGNANCY RESOURCE CENTER,Clinic,CARLSBAD,33.18665518878444,-117.28012804516287
SAN YSIDRO HEALTH PARADISE HILLS,Clinic,NATIONAL CITY,32.682785237934894,-117.0819781158447
TRUECARE,Clinic,OCEANSIDE,33.19622519158201,-117.35371803175964
LEMON GROVE FAMILY HEALTH CENTER,Clinic,LEMON GROVE,32.74273902899413,-117.03443591983331
LOGAN HEIGHTS FAMILY COUNSELING CENTER,Clinic,CENTRAL SAN DIEGO,32.697271539176064,-117.13979310523442
LA MAESTRA COMMUNITY HEALTH CENTERS - CITY HEIGHTS,Clinic,MID-CITY,32.7505252307684,-117.10091810814691
FALLBROOK FAMILY HEALTH CENTER,Clinic,FALLBROOK,33.36881516607456,-117.25079803604042
"CENTRO MEDICO, ESCONDIDO",Clinic,ESCONDIDO,33.132285183797336,-117.06931808550081
NESTOR COMMUNITY HEALTH CENTER,Clinic,SOUTH BAY,32.57796525081053,-117.08252812283098
KIDCARE EXPRESS,Clinic,SOUTHEASTERN SAN DIEGO,32.71503083566136,-117.11329750815923
CITY HEIGHTS FAMILY HEALTH CENTER,Clinic,MID-CITY,32.75813532906677,-117.07768431089744
ST. PAUL'S PACE,Clinic,CHULA VISTA,32.616248446067715,-117.08527382014684
TRUECARE,Clinic,CARLSBAD,33.165835194093674,-117.33824803723195
LA MAESTRA COMMUNITY HEALTH CENTERS - MOBILE CLINIC,Clinic,MID-CITY,32.75053423066049,-117.1013341076305
WOMEN'S HEALTH & WELLNESS CENTER,Clinic,LA MESA,32.7821352220115,-117.00705812202365
KING-CHAVEZ HEALTH CENTER,Clinic,SOUTHEASTERN SAN DIEGO,32.696085236538224,-117.08561111446149
RICE FAMILY HEALTH CENTER,Clinic,CHULA VISTA,32.619965244980385,-117.07392812168976
